GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US0630000,Glendale city,196543,128248,3573,1101,29870,145,15871,17735,33575,80193,76860,3333,49847,27013,90715,8725,99440,0.5034,995700,79633
1600000US1270600,Tallahassee city,196169,99126,68691,540,8754,111,4225,14722,16663,92527,82877,9650,51042,31835,108997,7007,116004,0.4837,246100,51224
1600000US4830464,Grand Prairie city,196100,57515,47351,2339,14982,228,38114,35571,88749,68284,65008,3276,27265,37743,96158,4628,100786,0.4186,242200,68473
1600000US4845744,McKinney city,195308,109815,25355,1367,24053,170,10943,23605,33392,72876,68366,4510,25004,43362,102859,3791,106650,0.4338,391200,98317
1600000US1210275,Cape Coral city,194016,140226,8281,584,3304,113,11325,30183,46151,90465,76686,13779,19424,57262,98560,5276,103836,0.4419,291600,66425
1600000US4659020,Sioux Falls city,192517,152142,12190,5279,5318,74,5676,11838,12269,83504,78405,5099,31790,46615,110852,2004,112856,0.4722,249600,73273
1600000US0454050,Peoria city,190985,136426,7550,2136,8828,301,12930,22814,38811,76546,70111,6435,17424,52687,93888,4554,98442,0.422,407600,92566
1600000US4459000,Providence city,190934,72001,25860,2931,11559,149,51383,27051,83815,75257,69597,5660,46288,23309,92238,9596,101834,0.5165,291200,60970
1600000US5374060,Vancouver city,190915,132335,6228,2248,10364,3401,14151,22188,30541,81809,78026,3783,40270,37756,92222,7556,99778,0.4676,399100,69993
1600000US4740000,Knoxville city,190740,132786,30477,1252,4365,114,7904,13842,15160,91908,82857,9051,44426,38431,96500,5515,102015,0.5056,193600,45700
1600000US3901000,Akron city,190469,104240,59821,514,10093,80,3058,12663,6196,92517,82970,9547,41660,41310,85265,7617,92882,0.4462,106300,41628
1600000US2270000,Shreveport city,187593,67509,105088,733,3049,108,2993,8113,6658,89863,78929,10934,36366,42563,71813,9338,81151,0.5334,161500,42034
1600000US0150000,Mobile city,187041,76275,96039,616,3388,114,2542,8067,6034,89215,77772,11443,36945,40827,79846,6754,86600,0.5066,158200,43786
