GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US2537000,Lowell city,115554,52594,10344,405,25776,64,14036,12335,25051,43482,41229,2253,24165,17064,57613,2878,60491,0.4197,380400,64221
1600000US3774440,Wilmington city,115451,81814,19091,504,1853,103,4517,7569,9544,59484,52731,6753,28153,24578,62051,4798,66849,0.5655,334900,53186
1600000US0602252,Antioch city,115291,32703,24057,1696,15015,1543,24028,16249,41965,36749,35548,1201,14101,21447,51393,4876,56269,0.4498,577900,81008
1600000US4807000,Beaumont city,115282,35844,54549,745,4387,54,11017,8686,20607,51953,45922,6031,21110,24812,53267,2615,55882,0.4673,150100,51361
1600000US4962470,Provo city,115162,85955,1072,1168,2844,1695,9433,12995,21395,36106,34067,2039,20418,13649,65644,2567,68211,0.4741,418800,57659
1600000US4550875,North Charleston city,114852,45672,46673,750,3388,147,10075,8147,16070,50563,45887,4676,24785,21102,61495,3857,65352,0.4978,229800,55864
1600000US1723074,Elgin city,114797,49850,7574,2751,7443,92,27932,19155,54460,40530,38727,1803,12630,26097,61275,3720,64995,0.3766,233200,79120
1600000US0611194,Carlsbad city,114746,83264,1340,676,9176,215,5535,14540,17302,47734,44775,2959,15733,29042,54199,3227,57426,0.448,1042900,124669
1600000US4853388,Odessa city,114428,56783,7512,1134,2523,277,21273,24926,64244,47309,41126,6183,14910,26216,58154,3826,61980,0.4498,196500,61964
1600000US0980000,Waterbury city,114403,46697,25038,857,2420,102,22902,16387,45281,48392,44425,3967,26160,18265,51019,6509,57528,0.4748,184300,48793
1600000US1772000,Springfield city,114394,78799,23344,298,3353,51,1222,7327,3582,57337,51223,6114,20073,31150,50010,4911,54921,0.4767,140100,62505
1600000US4841980,League City city,114392,75705,8533,586,7255,88,6448,15777,23884,43493,41352,2141,11235,30117,58267,2857,61124,0.3836,300000,101382
1600000US0619766,Downey city,114355,26731,4265,2357,7652,310,45758,27282,85866,36087,35017,1070,17501,17516,54465,3945,58410,0.4438,686000,72556
1600000US4131250,Gresham city,114247,71835,5957,1882,6886,1251,13106,13330,24043,42944,41333,1611,19645,21688,52292,4196,56488,0.416,411100,66129
1600000US3731400,High Point city,114059,51908,36610,695,10052,66,7279,7449,12784,47951,44382,3569,19871,24511,52232,3750,55982,0.4381,180300,57698
1600000US4009050,Broken Arrow city,113540,75198,5819,6311,5177,83,4416,16536,11638,44860,42699,2161,11934,30765,59174,3190,62364,0.4031,211600,73628
1600000US1759000,Peoria city,113150,61747,31527,415,7220,47,4247,7947,7899,54388,47493,6895,21670,25823,47451,4953,52404,0.5293,124500,47287
1600000US2646000,Lansing city,112644,61959,26328,916,4776,43,5580,13042,15467,54599,49503,5096,24285,25218,53828,5664,59492,0.4532,109900,48818
1600000US1238250,Lakeland city,112641,66712,21773,507,2493,79,8221,12856,22702,50869,45636,5233,20604,25032,50838,3045,53883,0.4589,186700,55029
1600000US1258050,Pompano Beach city,112046,50859,31994,687,1839,35,10177,16455,26611,59742,47751,11991,22105,25646,53542,5294,58836,0.4867,304000,53737
1600000US0616532,Costa Mesa city,111918,60574,1442,1455,9707,460,21391,16889,40795,44047,42179,1868,25761,16418,63813,3700,67513,0.4414,930500,97904
1600000US0862000,Pueblo city,111876,66342,3044,3073,1197,156,16428,21636,55133,48805,45648,3157,18953,26695,45434,3724,49158,0.5022,214500,49598
1600000US4842508,Lewisville city,111822,46844,17699,1339,12638,86,15747,17469,35853,46656,43926,2730,26112,17814,63960,4764,68724,0.3939,308800,75915
1600000US1245060,Miami Gardens city,111640,10409,70886,197,798,23,8542,20785,36711,35577,34284,1293,12724,21560,46546,4539,51085,0.4342,320600,54276
1600000US3539380,Las Cruces city,111385,57792,3026,2586,2101,118,18504,27258,67204,49414,45774,3640,20411,25363,48537,3894,52431,0.4851,182000,42058
1600000US4870808,Sugar Land city,111026,45186,8122,367,42831,40,3482,10998,13430,40118,38100,2018,7897,30203,49804,3557,53361,0.4765,369300,112868
1600000US0650076,Murrieta city,110949,59134,6711,1185,11566,521,12645,19187,33925,36809,35553,1256,11464,24089,47060,5044,52104,0.4007,573700,104708
1600000US0665042,San Buenaventura (Ventura) city,110763,68117,2018,1633,4444,215,15736,18600,38902,44612,42214,2398,18859,23355,54000,4497,58497,0.4379,702500,97816
1600000US5322640,Everett city,110629,68224,5931,1439,10602,1471,9813,13149,19083,47193,44879,2314,24582,20297,55487,2886,58373,0.4221,496900,70023
1600000US0678120,Temecula city,110003,61192,5171,1643,12458,472,11179,17888,30366,37170,35869,1301,12417,23452,46035,5552,51587,0.4156,613300,99805
1600000US2621000,Dearborn city,109976,95037,4435,178,2796,17,1381,6132,3940,39334,36935,2399,12507,24428,40211,3408,43619,0.4701,180900,61079
1600000US0669196,Santa Maria city,109707,31077,1288,4157,5435,166,44765,22819,83968,29960,28944,1016,14417,14527,47480,3730,51210,0.455,426100,69714
1600000US0684200,West Covina city,109501,21993,4045,1747,33632,210,27736,20138,58102,34834,33627,1207,13481,20146,49730,5242,54972,0.4534,636300,88476
1600000US0622230,El Monte city,109450,13958,903,2398,33198,63,42168,16762,70819,29893,29137,756,17516,11621,46885,4290,51175,0.4546,566600,55609
1600000US0832155,Greeley city,108795,67476,2895,1924,2146,126,16142,18086,43758,40566,38012,2554,15808,22204,50939,3446,54385,0.4539,347100,64853
1600000US3268400,Sparks city,108445,63816,3265,1752,7319,1037,15978,15278,32670,43332,41116,2216,17801,23315,55506,4621,60127,0.4002,423400,78778
1600000US0812815,Centennial city,108418,84109,3662,487,6894,130,2776,10360,10418,41571,40406,1165,8401,32005,54368,3027,57395,0.4237,578200,108531
1600000US0807850,Boulder city,108250,85303,1378,675,6968,130,5055,8741,11440,46289,43565,2724,23324,20241,56336,3288,59624,0.5459,941100,84167
1600000US1368516,Sandy Springs city,108080,60066,20230,404,10194,64,7291,9831,14740,53606,49833,3773,27540,22293,64007,2151,66158,0.5232,588300,94456
1600000US0636546,Inglewood city,107762,10271,41708,2197,2248,356,36491,14491,55677,39436,37853,1583,24155,13698,51562,6125,57687,0.4386,684500,68135
1600000US1372122,South Fulton city,107436,3734,97259,231,478,36,2015,3683,3528,41468,39021,2447,11381,27640,55095,4707,59802,0.4333,252500,73958
1600000US5531000,Green Bay city,107395,71574,5904,4721,4735,65,9030,11366,19220,45789,43673,2116,19647,24026,54981,2930,57911,0.4425,174400,51908
1600000US0608954,Burbank city,107337,65337,3078,808,12568,116,10806,14624,25961,45616,43644,1972,25344,18300,52897,5343,58240,0.5331,940400,81177
1600000US5357745,Renton city,106785,44704,10838,984,27917,847,9065,12430,16510,43362,41433,1929,19957,21476,54323,3697,58020,0.4336,587300,83699
1600000US4134100,Hillsboro city,106447,61512,3122,1428,13411,568,13300,13106,25618,42363,40328,2035,20195,20133,56760,3372,60132,0.3856,432600,97436
1600000US0621712,El Cajon city,106215,61728,7164,1156,5254,506,15415,14992,31271,36749,35610,1139,21598,14012,43843,6821,50664,0.4504,591600,61356
1600000US4874144,Tyler city,105995,55594,24496,689,3028,57,11913,10218,24023,46320,41836,4484,20360,21476,49879,3345,53224,0.476,195900,54998
1600000US1216475,Davie town,105691,53798,9249,434,6490,82,9955,25683,41769,41669,39025,2644,13819,25206,52217,2804,55021,0.4562,421300,73332
1600000US0668252,San Mateo city,105661,43826,1815,866,28047,1700,16065,13342,27198,42229,40263,1966,20216,20047,53888,3819,57707,0.4917,1518800,129957
1600000US2509000,Brockton city,105643,31074,36951,492,2278,29,13003,21816,12762,37304,35758,1546,16535,19223,51288,4437,55725,0.4773,367500,68581
1600000US3714100,Concord city,105240,57299,23537,537,7086,72,8089,8620,14637,40772,38599,2173,14307,24292,55918,3092,59010,0.4075,298600,79329
1600000US0637692,Jurupa Valley city,105053,30199,3790,2214,5523,300,43974,19053,74047,28734,27913,821,8943,18970,47924,4056,51980,0.4068,447500,81052
1600000US0617918,Daly City city,104901,15009,2531,980,60281,764,15925,9411,25237,33444,31777,1667,14623,17154,54751,5315,60066,0.4608,1052800,95424
1600000US4801924,Allen city,104627,56189,10245,547,22433,62,4026,11125,13197,36962,35491,1471,10710,24781,51899,1752,53651,0.3972,392000,107438
1600000US3563460,Rio Rancho city,104046,62638,3020,4382,2214,228,10929,20635,43334,39703,38178,1525,7521,30657,47272,4013,51285,0.3907,247200,76096
1600000US0660466,Rialto city,104026,21864,12358,2699,2698,385,44832,19190,77345,27954,27307,647,9879,17428,43961,4408,48369,0.3957,431500,69982
1600000US1871000,South Bend city,103453,55355,26628,677,1573,58,8704,10458,17249,47270,41451,5819,18633,22818,45373,2670,48043,0.497,114100,50248
1600000US5367167,Spokane Valley city,102976,85722,1812,1322,1970,710,2629,8811,7253,43751,41821,1930,17694,24127,53370,2736,56106,0.3881,323800,58904
1600000US0652526,Norwalk city,102773,20680,4178,2426,14038,451,39327,21673,73548,28455,27835,620,9859,17976,44676,4050,48726,0.3887,585200,79850
1600000US0646842,Menifee city,102527,53478,6941,1310,6629,502,16889,16778,38749,36526,34706,1820,7845,26861,45035,3997,49032,0.4363,442700,85175
1600000US0681554,Vacaville city,102386,52997,9796,1082,9196,789,12180,16346,27402,36012,34932,1080,12470,22462,48532,2710,51242,0.3742,566300,97777
1600000US4879000,Wichita Falls city,102316,63852,13315,1142,2547,154,9667,11639,23181,43625,38266,5359,16819,21447,44248,1826,46074,0.4697,118900,50786
1600000US1919000,Davenport city,101724,75332,12187,435,2240,38,2612,8880,8981,46964,42679,4285,17157,25522,50115,3131,53246,0.4953,146000,53914
1600000US2555745,Quincy city,101636,55975,5796,218,31282,20,2706,5639,5214,47009,44707,2302,25390,19317,57416,5259,62675,0.4594,563500,81748
1600000US0613014,Chico city,101475,71411,2035,1662,4493,359,9224,12291,20638,44429,41887,2542,23812,18075,49249,4464,53713,0.5027,420100,61850
1600000US2537490,Lynn city,101253,38669,12256,1426,6948,46,28160,13748,44560,36782,35335,1447,19178,16157,49812,2732,52544,0.4544,423800,64986
1600000US2941348,Lee's Summit city,101108,79516,9019,321,2401,147,1714,7990,5398,40373,38476,1897,9802,28674,52204,2307,54511,0.3895,303700,100246
1600000US2545000,New Bedford city,101079,61420,5867,1369,1043,54,15031,16295,24525,44588,41852,2736,25341,16511,45926,5277,51203,0.4298,305600,49237
1600000US5323515,Federal Way city,101030,41438,14572,1167,15617,4102,11655,12479,20266,37677,36140,1537,17114,19026,45348,3520,48868,0.4328,461000,78734
1600000US4822660,Edinburg city,100243,35674,1607,746,2652,18,19600,39946,88658,34729,32014,2715,14880,17134,43759,2180,45939,0.4487,153500,47596
1600000US1656260,Nampa city,100200,73408,882,1163,1101,455,11227,11964,25329,36221,34829,1392,11287,23542,53387,1403,54790,0.4186,350800,63471
1600000US5168000,Roanoke city,100011,57309,27470,419,2479,54,4795,7485,8484,48726,44411,4315,22643,21768,46819,2830,49649,0.4843,160000,47202
