GEOID,city,year,total_police_killings,unarmed_police_killings
5335415,kent city,2020,1,0
5335415,kent city,2022,2,0
5335415,kent city,2023,2,0
5357745,renton city,2013,1,0
5357745,renton city,2019,2,1
5357745,renton city,2020,1,0
5357745,renton city,2021,1,0
5363000,seattle city,2013,7,1
5363000,seattle city,2014,7,1
5363000,seattle city,2015,3,1
5363000,seattle city,2016,2,0
5363000,seattle city,2017,3,0
5363000,seattle city,2018,3,0
5363000,seattle city,2019,2,0
5363000,seattle city,2020,2,1
5363000,seattle city,2021,3,0
5363000,seattle city,2022,3,1
5363000,seattle city,2023,1,1
5367000,spokane city,2013,3,1
5367000,spokane city,2014,1,0
5367000,spokane city,2015,1,0
5367000,spokane city,2016,1,0
5367000,spokane city,2017,5,0
5367000,spokane city,2018,1,0
5367000,spokane city,2019,3,0
5367000,spokane city,2020,3,1
5367000,spokane city,2021,1,0
5367000,spokane city,2022,4,0
5367000,spokane city,2023,1,0
5367167,spokane valley city,2013,1,0
5367167,spokane valley city,2014,2,0
5367167,spokane valley city,2018,1,0
5367167,spokane valley city,2019,2,1
5367167,spokane valley city,2020,2,0
5367167,spokane valley city,2022,1,0
5367167,spokane valley city,2023,1,0
5370000,tacoma city,2015,2,0
5370000,tacoma city,2016,2,0
5370000,tacoma city,2017,3,0
5370000,tacoma city,2018,2,0
5370000,tacoma city,2019,3,1
5370000,tacoma city,2020,1,1
5370000,tacoma city,2022,5,0
5370000,tacoma city,2023,2,0
5374060,vancouver city,2013,2,0
5374060,vancouver city,2014,1,1
5374060,vancouver city,2017,2,0
5374060,vancouver city,2018,1,0
5374060,vancouver city,2019,3,0
5374060,vancouver city,2020,3,0
5374060,vancouver city,2021,2,1
5374060,vancouver city,2022,1,0
5374060,vancouver city,2023,1,0
5531000,green bay city,2013,1,0
5531000,green bay city,2015,2,0
5531000,green bay city,2018,1,0
5531000,green bay city,2019,1,1
5531000,green bay city,2020,1,0
5531000,green bay city,2021,1,0
5548000,madison city,2013,2,0
5548000,madison city,2014,2,0
5548000,madison city,2015,2,2
5548000,madison city,2016,1,0
5548000,madison city,2019,1,0
5553000,milwaukee city,2013,4,0
5553000,milwaukee city,2014,2,0
5553000,milwaukee city,2015,3,0
5553000,milwaukee city,2016,4,0
5553000,milwaukee city,2017,6,2
5553000,milwaukee city,2018,2,0
5553000,milwaukee city,2019,2,0
5553000,milwaukee city,2020,5,1
5553000,milwaukee city,2021,4,0
5553000,milwaukee city,2022,5,1
5553000,milwaukee city,2023,4,1
